Player,player_url,player_RND,player_rating,player_ACS,player_KAST,player_KD_ratio,player_ADR,player_KPR,player_APR,player_FKPR,player_FDPR,player_HS,player_CL_percent,player_CL,player_top_3_agents_1_image,player_top_3_agents_2_image,player_top_3_agents_3_image,Rank,Gold,Silver,Bronze,S Tier,Earnings
Zyppan,https://www.vlr.gg/player/11/zyppan,357,1.09,232.1,73%,1.06,152.9,0.79,0.28,0.17,0.12,27%,9%,3/32,https://www.vlr.gg/img/vlr/game/agents/raze.png,https://www.vlr.gg/img/vlr/game/agents/skye.png,https://www.vlr.gg/img/vlr/game/agents/kayo.png,56,8,6,2,0,"$35,335"
Mistic,https://www.vlr.gg/player/1457/mistic,319,1.09,195.5,76%,1.08,124.3,0.7,0.39,0.09,0.06,27%,18%,6/34,https://www.vlr.gg/img/vlr/game/agents/skye.png,https://www.vlr.gg/img/vlr/game/agents/breach.png,https://www.vlr.gg/img/vlr/game/agents/sage.png,32,5,6,2,0,"$47,905"
ScreaM,https://www.vlr.gg/player/92/scream,257,1.09,222.3,68%,1.11,151.3,0.73,0.21,0.16,0.14,29%,8%,2/26,https://www.vlr.gg/img/vlr/game/agents/raze.png,https://www.vlr.gg/img/vlr/game/agents/phoenix.png,,16,15,9,2,0,"$70,399"
Mazino,https://www.vlr.gg/player/7603/mazino,144,1.09,223.6,67%,1.08,144.2,0.75,0.4,0.07,0.09,29%,6%,1/16,https://www.vlr.gg/img/vlr/game/agents/sage.png,https://www.vlr.gg/img/vlr/game/agents/skye.png,https://www.vlr.gg/img/vlr/game/agents/kayo.png,48,7,3,1,0,"$38,200"
NagZ,https://www.vlr.gg/player/1294/nagz,144,1.08,213.3,75%,1.11,138.0,0.76,0.15,0.17,0.1,25%,15%,3/20,https://www.vlr.gg/img/vlr/game/agents/chamber.png,https://www.vlr.gg/img/vlr/game/agents/sage.png,https://www.vlr.gg/img/vlr/game/agents/killjoy.png,41,13,5,2,0,"$41,980"
Jamppi,https://www.vlr.gg/player/9780/jamppi,257,1.06,218.7,72%,1.13,143.7,0.77,0.16,0.17,0.12,24%,21%,6/28,https://www.vlr.gg/img/vlr/game/agents/chamber.png,https://www.vlr.gg/img/vlr/game/agents/sage.png,,24,4,1,0,0,"$53,980"
crashies,https://www.vlr.gg/player/4/crashies,492,1.06,195.4,72%,1.04,128.4,0.68,0.37,0.07,0.08,26%,11%,6/56,https://www.vlr.gg/img/vlr/game/agents/sova.png,https://www.vlr.gg/img/vlr/game/agents/skye.png,https://www.vlr.gg/img/vlr/game/agents/kayo.png,20,3,5,2,0,"$60,250"
ardiis,https://www.vlr.gg/player/98/ardiis,357,1.06,234.5,71%,1.09,148.7,0.82,0.2,0.19,0.12,21%,13%,4/32,https://www.vlr.gg/img/vlr/game/agents/chamber.png,https://www.vlr.gg/img/vlr/game/agents/kayo.png,https://www.vlr.gg/img/vlr/game/agents/cypher.png,30,18,0,0,0,"$48,424"
BuZz,https://www.vlr.gg/player/804/buzz,416,1.05,233.2,68%,1.04,152.3,0.78,0.18,0.22,0.17,26%,15%,5/34,https://www.vlr.gg/img/vlr/game/agents/jett.png,https://www.vlr.gg/img/vlr/game/agents/chamber.png,https://www.vlr.gg/img/vlr/game/agents/raze.png,83,3,3,0,0,"$26,248"
Melser,https://www.vlr.gg/player/1311/melser,179,1.04,190.0,73%,1.1,125.6,0.68,0.33,0.04,0.07,26%,7%,2/29,https://www.vlr.gg/img/vlr/game/agents/omen.png,https://www.vlr.gg/img/vlr/game/agents/astra.png,https://www.vlr.gg/img/vlr/game/agents/brimstone.png,208,9,8,0,0,"$12,713"
