Player,player_url,player_RND,player_rating,player_ACS,player_KAST,player_KD_ratio,player_ADR,player_KPR,player_APR,player_FKPR,player_FDPR,player_HS,player_CL_percent,player_CL,player_top_3_agents_1_image,player_top_3_agents_2_image,player_top_3_agents_3_image
Famouz,https://www.vlr.gg/player/2348/famouz,131,0.79,172.0,66%,0.71,116.6,0.55,0.23,0.08,0.12,15%,7%,1/15,https://www.vlr.gg/img/vlr/game/agents/chamber.png,https://www.vlr.gg/img/vlr/game/agents/raze.png,https://www.vlr.gg/img/vlr/game/agents/kayo.png
foxz,https://www.vlr.gg/player/6723/foxz,103,0.78,197.4,64%,0.88,129.3,0.69,0.14,0.11,0.12,24%,21%,3/14,https://www.vlr.gg/img/vlr/game/agents/phoenix.png,https://www.vlr.gg/img/vlr/game/agents/yoru.png,https://www.vlr.gg/img/vlr/game/agents/sova.png
Khalil,https://www.vlr.gg/player/1711/khalil,113,0.77,154.6,65%,0.77,103.8,0.57,0.27,0.06,0.09,24%,8%,1/13,https://www.vlr.gg/img/vlr/game/agents/omen.png,https://www.vlr.gg/img/vlr/game/agents/viper.png,
Life,https://www.vlr.gg/player/3028/life,44,0.76,172.0,50%,0.79,124.0,0.61,0.14,0.09,0.23,29%,,0/3,https://www.vlr.gg/img/vlr/game/agents/jett.png,,
Sushiboys,https://www.vlr.gg/player/3342/sushiboys,103,0.76,168.2,63%,0.66,113.8,0.52,0.28,0.09,0.13,21%,17%,1/6,https://www.vlr.gg/img/vlr/game/agents/breach.png,https://www.vlr.gg/img/vlr/game/agents/sova.png,https://www.vlr.gg/img/vlr/game/agents/killjoy.png
ANGE1,https://www.vlr.gg/player/109/ange1,357,0.75,159.6,65%,0.68,106.5,0.53,0.28,0.08,0.15,31%,10%,2/21,https://www.vlr.gg/img/vlr/game/agents/fade.png,https://www.vlr.gg/img/vlr/game/agents/brimstone.png,https://www.vlr.gg/img/vlr/game/agents/omen.png
Mazin,https://www.vlr.gg/player/8872/mazin,113,0.72,146.4,62%,0.70,108.3,0.54,0.35,0.04,0.19,27%,7%,1/15,https://www.vlr.gg/img/vlr/game/agents/kayo.png,https://www.vlr.gg/img/vlr/game/agents/breach.png,https://www.vlr.gg/img/vlr/game/agents/jett.png
crow,https://www.vlr.gg/player/1000/crow,148,0.72,136.9,67%,0.66,95.6,0.47,0.32,0.03,0.05,29%,14%,2/14,https://www.vlr.gg/img/vlr/game/agents/fade.png,https://www.vlr.gg/img/vlr/game/agents/breach.png,https://www.vlr.gg/img/vlr/game/agents/skye.png
Surf,https://www.vlr.gg/player/23062/surf,103,0.71,175.6,55%,0.77,117.4,0.61,0.12,0.12,0.23,25%,,0/8,https://www.vlr.gg/img/vlr/game/agents/chamber.png,https://www.vlr.gg/img/vlr/game/agents/jett.png,
BerserX,https://www.vlr.gg/player/4874/berserx,131,0.66,155.8,61%,0.69,100.7,0.55,0.12,0.12,0.19,18%,,0/6,https://www.vlr.gg/img/vlr/game/agents/jett.png,https://www.vlr.gg/img/vlr/game/agents/skye.png,https://www.vlr.gg/img/vlr/game/agents/neon.png
